BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2161, NSW",16432,363,721,5670,1737,1218,2229,278,357,19,2400,31420
"2162, NSW",9864,311,592,2072,2675,1070,518,141,191,11,1179,18622
"2163, NSW",4434,144,280,1089,1838,336,270,192,119,4,872,9592
"2164, NSW",9831,395,1606,3681,1636,236,232,750,96,9,1154,19626
"2165, NSW",15965,482,2279,10783,7313,1141,579,1193,185,17,2501,42438
"2166, NSW",20053,523,1882,1626,22473,2100,305,650,263,20,2869,52768
"2167, NSW",4913,266,277,286,658,389,1639,172,193,7,835,9637
"2168, NSW",24883,567,1934,4501,5723,406,453,1184,347,21,3426,43451
"2170, NSW",56118,2066,8242,10803,8043,1941,5667,1987,1459,72,9057,105455
"2171, NSW",21249,448,2136,3783,3060,416,805,951,320,22,1683,34865
"2172, NSW",2003,94,100,89,104,41,188,30,35,0,94,2779
"2173, NSW",9837,379,359,525,852,369,1134,178,185,8,611,14432
"2174, NSW",1271,31,123,79,161,42,308,36,65,0,156,2267
"2175, NSW",1175,30,296,84,46,11,15,13,4,0,163,1837
"2176, NSW",22764,629,4165,8586,7031,614,252,1593,152,20,2015,47812
"2177, NSW",7464,144,968,1448,4362,293,144,375,77,4,696,15980
"2178, NSW",2713,94,484,228,94,107,23,45,5,0,430,4234
"2179, NSW",4058,169,727,259,167,172,179,63,19,3,714,6529
"2190, NSW",14160,237,1142,4873,1044,947,1029,172,177,12,1779,25571
"2191, NSW",3710,128,490,447,270,677,161,83,60,3,295,6317
"2192, NSW",6029,170,1333,935,989,1155,851,189,190,6,866,12713
"2193, NSW",8379,529,1600,526,1058,1194,603,300,125,16,917,15254
"2194, NSW",7461,224,925,980,3114,6712,3234,269,179,17,1412,24538
"2195, NSW",9502,146,945,2542,3197,1010,7216,150,473,15,1955,27148
"2196, NSW",16518,301,1833,4615,2425,1322,1952,322,336,30,2164,31813
"2197, NSW",5532,183,475,1166,809,149,142,71,80,6,450,9067
"2198, NSW",5930,211,643,886,531,109,83,73,70,8,493,9039
"2199, NSW",9540,217,985,2186,2495,577,449,151,237,8,1159,18016
"2200, NSW",19222,356,2371,5513,6944,2307,2493,336,629,30,3478,43688
"2203, NSW",8439,808,1074,349,838,363,285,401,122,5,1019,13707
"2204, NSW",15417,1342,2186,708,2631,728,692,584,202,21,1997,26499
"2205, NSW",7836,563,1404,1053,1517,3821,876,889,121,18,1352,19447
"2206, NSW",11822,523,2899,752,821,790,159,254,107,6,1265,19407
"2207, NSW",15784,702,3028,1672,1163,2481,925,495,171,10,2100,28536
"2208, NSW",7216,209,1425,484,746,1333,139,157,60,4,670,12450
"2209, NSW",7884,252,904,589,1282,3228,479,205,106,12,833,15772
"2210, NSW",18602,796,1533,1256,1529,4051,667,430,171,22,1533,30582
"2211, NSW",10689,419,791,723,1071,1464,497,186,166,9,841,16845
"2212, NSW",9876,375,604,943,1284,1121,582,174,142,8,739,15846
"2213, NSW",15851,642,764,831,960,881,440,183,173,8,1057,21788
"2214, NSW",3252,138,101,86,89,74,30,37,22,0,134,3952
"2216, NSW",11702,652,3160,1236,1872,2358,3748,999,172,44,2119,28065
"2217, NSW",12568,724,2515,1017,1503,2527,3397,722,215,32,1626,26846
"2218, NSW",7179,306,1506,543,963,3118,1537,351,101,29,803,16425
"2219, NSW",8694,463,1397,563,281,433,124,268,108,15,834,13196
"2220, NSW",10534,314,1395,573,1928,13106,2838,270,107,22,1404,32487
"2221, NSW",10289,414,1103,495,577,2359,210,173,107,10,742,16482
"2222, NSW",6334,302,704,319,707,2221,1276,198,96,8,629,12790
"2223, NSW",13837,854,955,295,751,2107,704,299,172,8,923,20903
"2224, NSW",10249,577,823,362,286,807,102,198,91,6,707,14209
"2225, NSW",4470,351,116,26,52,98,29,55,45,3,161,5408
"2226, NSW",9924,890,300,71,178,296,103,139,94,10,499,12505
"2227, NSW",11867,939,362,104,189,255,70,177,113,13,545,14622
"2228, NSW",13457,1003,758,230,533,646,309,299,153,16,956,18364
"2229, NSW",23082,1609,761,253,437,474,202,320,191,15,1365,28712
"2230, NSW",22745,1872,749,155,364,204,91,505,209,25,1918,28842
"2231, NSW",1916,130,25,4,23,16,0,17,18,0,116,2269
"2232, NSW",25717,1952,896,269,656,800,432,447,271,39,1400,32870
"2233, NSW",25478,1776,351,109,274,167,121,257,193,18,768,29497
"2234, NSW",24266,1388,1296,599,534,604,258,390,385,11,848,30579
"2250, NSW",52123,5076,925,331,1161,1209,807,750,677,34,4106,67195
"2251, NSW",26305,3051,356,108,258,166,107,339,292,4,1713,32708
"2256, NSW",12090,1174,223,54,244,239,83,185,102,13,1190,15603
"2257, NSW",23202,2064,455,96,311,173,102,298,167,18,2128,29009
"2258, NSW",4267,376,40,14,62,43,23,40,38,0,260,5167
"2259, NSW",49053,3373,688,177,730,421,444,452,378,21,3765,59513
"2260, NSW",18758,2009,286,85,200,172,122,297,325,3,1161,23418
"2261, NSW",44076,2978,671,144,435,210,179,366,211,9,3467,52751
"2262, NSW",17703,1063,245,55,181,46,31,98,57,4,1346,20828
"2263, NSW",19750,1353,290,51,242,54,85,139,77,0,2233,24263
"2264, NSW",11989,849,132,26,128,61,79,102,101,0,757,14233
"2265, NSW",4853,233,66,9,64,23,29,78,89,0,362,5809
"2267, NSW",2369,168,25,4,22,3,3,8,6,3,133,2757
"2278, NSW",2378,64,11,0,14,4,0,5,3,0,97,2571
"2280, NSW",23482,1099,185,46,207,126,90,133,153,0,1153,26682
"2281, NSW",12458,683,108,22,102,41,14,74,34,4,734,14273
"2282, NSW",12586,852,178,44,124,96,96,96,112,0,582,14775
"2283, NSW",20034,1236,150,21,222,91,59,160,108,6,1223,23297
"2284, NSW",9241,425,91,8,99,32,41,38,38,0,497,10498
"2285, NSW",26966,1002,364,79,324,162,340,123,160,3,1199,30715
"2286, NSW",3500,140,15,10,6,5,11,9,0,0,208,3909
"2287, NSW",30067,1102,762,389,571,873,696,223,284,6,1437,36400
"2289, NSW",16504,759,448,40,208,150,138,139,110,8,616,19118
"2290, NSW",28830,1343,483,48,330,232,165,216,142,10,1617,33422
"2291, NSW",11551,567,187,16,102,74,63,159,83,0,611,13413
"2292, NSW",2108,85,76,8,18,19,19,15,16,0,87,2465
"2293, NSW",2174,86,35,6,17,13,7,38,17,0,136,2521
"2294, NSW",1654,75,17,3,25,9,0,19,6,0,123,1929
"2295, NSW",5946,305,30,12,58,14,5,53,22,4,470,6925
"2296, NSW",1551,59,30,12,24,11,36,18,17,0,128,1883
"2297, NSW",1358,71,40,3,28,10,19,21,14,0,125,1683
"2298, NSW",7824,302,238,68,167,152,158,68,72,5,449,9499
"2299, NSW",8372,312,294,237,333,505,467,74,164,0,435,11205
"2300, NSW",8222,624,125,89,130,107,90,208,105,0,877,10579
"2302, NSW",391,26,3,20,8,16,7,19,6,0,75,565
"2303, NSW",7408,386,374,24,103,80,76,65,61,4,558,9145
"2304, NSW",12540,532,363,60,311,231,175,123,97,9,746,15177
"2305, NSW",10755,501,185,30,142,102,152,122,57,0,445,12506
"2306, NSW",2874,83,13,5,18,0,5,4,3,4,356,3359
