,postcode,average_salary
434,"2587, NSW",521.61
435,"2588, NSW",799.23
436,"2590, NSW",528.95
437,"2594, NSW",505.71
438,"2619, NSW",990.02
439,"2621, NSW",873.30
440,"2622, NSW",596.58
441,"2623, NSW",651.67
442,"2625, NSW",635.71
443,"2626, NSW",650.84
444,"2627, NSW",697.62
445,"2628, NSW",580.26
446,"2629, NSW",574.76
447,"2630, NSW",582.09
448,"2631, NSW",614.87
449,"2632, NSW",548.23
450,"2633, NSW",551.51
451,"2640, NSW",633.99
452,"2641, NSW",500.16
453,"2642, NSW",565.81
454,"2643, NSW",515.00
455,"2644, NSW",564.23
456,"2645, NSW",505.06
457,"2646, NSW",541.15
458,"2647, NSW",523.73
459,"2648, NSW",500.83
460,"2649, NSW",136.29
461,"2650, NSW",629.40
462,"2651, NSW",598.52
463,"2652, NSW",576.85
464,"2653, NSW",521.09
465,"2655, NSW",520.81
466,"2656, NSW",561.98
467,"2658, NSW",481.31
468,"2659, NSW",493.17
469,"2660, NSW",512.11
470,"2661, NSW",734.66
471,"2663, NSW",438.43
472,"2665, NSW",506.03
473,"2666, NSW",536.48
474,"2668, NSW",442.18
475,"2669, NSW",542.94
476,"2671, NSW",549.38
477,"2672, NSW",444.34
478,"2675, NSW",583.33
479,"2678, NSW",274.55
480,"2680, NSW",550.58
481,"2681, NSW",536.01
482,"2700, NSW",494.11
483,"2701, NSW",553.08
484,"2702, NSW",451.73
485,"2703, NSW",327.68
486,"2705, NSW",534.81
487,"2706, NSW",505.78
488,"2707, NSW",594.72
489,"2710, NSW",538.86
490,"2711, NSW",548.88
491,"2712, NSW",493.81
492,"2713, NSW",500.85
493,"2714, NSW",500.83
494,"2715, NSW",490.63
495,"2716, NSW",534.48
496,"2717, NSW",413.92
497,"2720, NSW",554.95
498,"2721, NSW",469.77
499,"2722, NSW",527.84
500,"2725, NSW",542.23
501,"2726, NSW",693.49
502,"2727, NSW",556.82
503,"2729, NSW",570.62
504,"2730, NSW",521.14
505,"2731, NSW",574.12
506,"2732, NSW",533.74
507,"2733, NSW",485.03
508,"2734, NSW",587.28
509,"2735, NSW",360.71
510,"2736, NSW",484.80
511,"2737, NSW",455.93
512,"2738, NSW",641.35
513,"2739, NSW",559.27
514,"2745, NSW",719.07
515,"2747, NSW",607.11
516,"2748, NSW",714.08
517,"2749, NSW",650.50
518,"2750, NSW",644.63
519,"2752, NSW",660.95
520,"2753, NSW",625.49
521,"2754, NSW",645.32
522,"2755, NSW",777.40
523,"2756, NSW",648.94
524,"2757, NSW",717.60
525,"2758, NSW",708.46
526,"2759, NSW",635.61
527,"2760, NSW",523.33
528,"2761, NSW",565.49
529,"2762, NSW",674.98
530,"2763, NSW",665.15
531,"2765, NSW",587.94
532,"2766, NSW",546.55
533,"2767, NSW",571.98
534,"2768, NSW",704.78
535,"2769, NSW",782.20
536,"2770, NSW",423.78
537,"2773, NSW",832.49
538,"2774, NSW",760.26
539,"2775, NSW",532.59
540,"2776, NSW",724.17
541,"2777, NSW",723.64
542,"2778, NSW",712.03
543,"2779, NSW",627.89
544,"2780, NSW",607.12
545,"2782, NSW",666.20
546,"2783, NSW",626.58
547,"2784, NSW",617.84
548,"2785, NSW",625.66
549,"2786, NSW",561.80
550,"2787, NSW",534.09
551,"2790, NSW",550.06
552,"2791, NSW",595.42
553,"2792, NSW",587.02
554,"2793, NSW",490.51
555,"2794, NSW",506.60
556,"2795, NSW",589.75
557,"2797, NSW",579.86
558,"2798, NSW",672.43
559,"2799, NSW",545.55
560,"2800, NSW",631.94
561,"2803, NSW",601.90
562,"2804, NSW",525.51
563,"2805, NSW",452.46
564,"2806, NSW",530.35
565,"2807, NSW",432.98
566,"2808, NSW",470.20
567,"2809, NSW",444.04
568,"2810, NSW",525.54
569,"2817, NSW",617.70
570,"2818, NSW",599.42
571,"2820, NSW",422.62
572,"2821, NSW",514.10
573,"2822, NSW",548.12
574,"2823, NSW",547.27
575,"2824, NSW",546.06
576,"2825, NSW",597.44
577,"2826, NSW",720.18
578,"2827, NSW",493.35
579,"2828, NSW",478.82
580,"2829, NSW",464.16
581,"2830, NSW",605.51
582,"2831, NSW",514.52
583,"2832, NSW",453.58
584,"2833, NSW",461.05
585,"2834, NSW",406.54
586,"2835, NSW",690.20
587,"2836, NSW",428.51
588,"2838, NSW",438.58
589,"2839, NSW",413.99
590,"2840, NSW",492.39
591,"2842, NSW",482.35
592,"2843, NSW",503.44
593,"2844, NSW",440.60
594,"2845, NSW",523.74
595,"2846, NSW",357.13
596,"2847, NSW",515.94
597,"2848, NSW",405.20
598,"2849, NSW",505.32
599,"2850, NSW",596.27
600,"2852, NSW",507.13
601,"2864, NSW",563.07
602,"2865, NSW",546.95
603,"2866, NSW",540.42
604,"2867, NSW",499.33
605,"2868, NSW",494.49
606,"2869, NSW",458.70
607,"2870, NSW",544.74
608,"2871, NSW",514.45
609,"2873, NSW",529.12
610,"2874, NSW",461.58
611,"2875, NSW",509.37
612,"2876, NSW",395.01
613,"2877, NSW",510.46
614,"2878, NSW",500.27
615,"2879, NSW",424.69
616,"2880, NSW",564.69
617,"2898, NSW",685.17
618,"3000, VIC",584.41
619,"3002, VIC",1258.54
620,"3003, VIC",801.73
621,"3004, VIC",1100.82
622,"3005, VIC",851.43
623,"3006, VIC",955.81
624,"3008, VIC",925.66
625,"3010, VIC",241.72
626,"3011, VIC",695.39
627,"3012, VIC",669.38
628,"3013, VIC",868.81
629,"3015, VIC",862.09
630,"3016, VIC",879.51
631,"3018, VIC",731.72
632,"3019, VIC",433.12
633,"3020, VIC",462.25
634,"3021, VIC",411.30
635,"3022, VIC",484.55
636,"3023, VIC",520.46
637,"3024, VIC",529.02
638,"3025, VIC",556.39
639,"3026, VIC",538.89
640,"3027, VIC",689.05
641,"3028, VIC",572.06
642,"3029, VIC",524.67
643,"3030, VIC",608.59
644,"3031, VIC",810.57
645,"3032, VIC",784.21
646,"3033, VIC",644.72
647,"3034, VIC",597.00
648,"3036, VIC",722.93
649,"3037, VIC",549.68
650,"3038, VIC",609.01
651,"3039, VIC",854.68
652,"3040, VIC",837.10
653,"3041, VIC",793.52
654,"3042, VIC",686.32
655,"3043, VIC",576.37
656,"3044, VIC",693.22
657,"3045, VIC",402.50
658,"3046, VIC",560.80
659,"3047, VIC",341.38
660,"3048, VIC",350.65
661,"3049, VIC",610.17
662,"3050, VIC",277.31
663,"3051, VIC",678.92
664,"3052, VIC",745.42
665,"3053, VIC",522.40
666,"3054, VIC",985.23
667,"3055, VIC",763.90
668,"3056, VIC",845.22
669,"3057, VIC",887.65
670,"3058, VIC",688.33
671,"3059, VIC",643.54
672,"3060, VIC",446.28
673,"3061, VIC",354.32
674,"3062, VIC",nan
675,"3063, VIC",666.16
676,"3064, VIC",469.75
677,"3065, VIC",886.44
678,"3066, VIC",865.37
679,"3067, VIC",1004.69
680,"3068, VIC",979.86
681,"3070, VIC",859.83
682,"3071, VIC",756.87
683,"3072, VIC",637.98
684,"3073, VIC",548.27
685,"3074, VIC",435.09
686,"3075, VIC",450.24
687,"3076, VIC",504.22
688,"3078, VIC",875.62
689,"3079, VIC",908.81
690,"3081, VIC",547.76
691,"3082, VIC",570.55
692,"3083, VIC",554.29
693,"3084, VIC",786.72
694,"3085, VIC",732.13
695,"3086, VIC",173.65
696,"3087, VIC",671.72
697,"3088, VIC",716.08
698,"3089, VIC",742.49
699,"3090, VIC",804.19
700,"3091, VIC",747.87
701,"3093, VIC",825.58
702,"3094, VIC",755.35
703,"3095, VIC",799.12
704,"3096, VIC",660.86
705,"3097, VIC",811.38
706,"3099, VIC",690.42
707,"3101, VIC",949.16
708,"3102, VIC",854.09
709,"3103, VIC",820.20
710,"3104, VIC",778.73
711,"3105, VIC",698.66
712,"3106, VIC",762.40
713,"3107, VIC",692.57
714,"3108, VIC",664.03
715,"3109, VIC",648.88
716,"3111, VIC",738.08
717,"3113, VIC",814.16
718,"3114, VIC",850.90
719,"3115, VIC",816.35
720,"3116, VIC",661.87
721,"3121, VIC",1035.11
722,"3122, VIC",963.95
723,"3123, VIC",968.74
724,"3124, VIC",917.11
725,"3125, VIC",581.99
726,"3126, VIC",970.32
727,"3127, VIC",927.73
728,"3128, VIC",623.51
729,"3129, VIC",692.46
730,"3130, VIC",714.05
731,"3131, VIC",658.71
732,"3132, VIC",739.15
733,"3133, VIC",682.75
734,"3134, VIC",698.39
