INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"3754, VIC",111,2692,1163,1546,1629,1600,1894,2245,2768,3037,2269,1728,1046,1245,391,1762,10629,37758
"3755, VIC",0,15,12,15,19,30,20,12,15,17,16,10,5,9,3,24,31,251
"3756, VIC",39,835,403,550,673,579,675,761,927,886,623,440,267,341,118,1011,2786,11926
"3757, VIC",41,601,288,487,568,671,563,572,626,626,434,319,220,250,127,715,1859,8955
"3758, VIC",3,179,83,116,92,139,125,159,154,161,131,65,60,70,32,136,474,2182
"3759, VIC",0,77,52,49,60,59,52,55,65,85,73,47,35,58,40,82,176,1062
"3760, VIC",4,21,25,13,14,22,28,16,30,37,19,28,14,19,5,18,62,372
"3761, VIC",3,72,43,61,86,69,89,79,69,84,66,53,34,71,17,104,234,1230
"3762, VIC",0,10,3,10,11,3,14,3,10,7,6,5,0,14,5,29,13,131
"3763, VIC",8,111,67,113,95,90,88,106,107,130,63,51,35,41,15,124,286,1536
"3764, VIC",50,696,330,445,698,646,503,536,639,597,401,341,235,278,112,791,1867,9161
"3765, VIC",87,451,273,342,382,431,426,399,474,546,362,288,177,248,103,500,1271,6764
"3766, VIC",5,70,51,69,71,69,88,65,89,103,58,81,32,65,22,62,243,1240
"3767, VIC",3,78,67,68,75,88,83,68,91,85,69,52,42,61,34,84,211,1253
"3770, VIC",16,200,123,186,205,194,215,227,256,259,160,119,79,89,60,211,616,3222
"3775, VIC",21,237,150,216,241,237,250,245,308,299,191,150,103,128,84,257,753,3865
"3777, VIC",29,612,348,628,884,988,775,737,808,681,467,359,216,283,142,810,1969,10753
"3778, VIC",0,7,5,15,24,15,14,19,13,14,8,3,0,3,6,19,32,199
