OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2206, NSW",1276,2271,1059,748,1377,824,439,585,86,79,10666,19407
"2207, NSW",1510,2912,1585,1161,2037,1200,884,1071,151,107,15922,28536
"2208, NSW",678,1235,731,415,974,523,360,463,72,62,6927,12450
"2209, NSW",739,1615,854,709,1095,645,484,592,79,77,8881,15772
"2210, NSW",1570,2911,1711,1305,2136,1310,835,1072,148,131,17451,30582
"2211, NSW",884,1650,1080,681,1446,694,559,601,75,60,9126,16845
"2212, NSW",832,1442,1021,716,1305,608,504,582,74,81,8692,15846
"2213, NSW",1294,2197,1465,954,1955,983,597,654,108,65,11502,21788
"2214, NSW",219,328,320,188,410,163,127,118,22,3,2045,3952
"2216, NSW",1507,2804,1770,1547,1925,1485,913,1798,153,151,14007,28065
"2217, NSW",1435,3379,1521,1429,1901,1329,728,1352,138,106,13537,26846
"2218, NSW",840,1897,951,862,1186,894,502,862,92,68,8266,16425
"2219, NSW",959,1388,709,518,1092,691,324,380,71,52,7008,13196
"2220, NSW",1549,3516,1798,1591,2063,1651,747,1589,162,168,17650,32487
"2221, NSW",1233,2079,745,632,1243,810,323,414,91,62,8852,16482
"2222, NSW",646,1567,737,705,986,635,327,600,77,57,6442,12790
"2223, NSW",1469,3144,1099,953,1765,936,427,617,101,58,10331,20903
"2224, NSW",1155,1446,782,544,1098,666,298,348,79,45,7758,14209
"2225, NSW",512,791,305,236,465,232,68,125,28,13,2630,5408
"2226, NSW",946,1821,730,639,1053,497,205,313,58,30,6204,12505
"2227, NSW",1239,1732,1038,827,1314,736,245,382,68,43,6996,14622
"2228, NSW",1202,2042,1165,961,1426,928,417,534,91,61,9534,18364
"2229, NSW",2270,3406,1891,1544,2317,1405,504,729,153,101,14398,28712
"2230, NSW",2604,4000,2059,1815,2392,1410,552,821,158,80,12954,28842
"2231, NSW",135,160,219,123,172,94,78,102,7,13,1168,2269
"2232, NSW",2271,4366,2305,1795,2833,1510,678,914,173,113,15903,32870
"2233, NSW",1942,3176,2489,1787,2695,1371,641,896,125,67,14307,29497
"2234, NSW",2624,4060,2157,1540,2999,1826,634,896,174,93,13575,30579
"2250, NSW",3636,6527,4232,3514,4393,3046,1528,2952,299,198,36877,67195
"2251, NSW",1830,3382,2221,1796,2011,1517,568,1162,134,82,17993,32708
"2256, NSW",645,1154,885,727,864,607,319,629,71,62,9634,15603
